sku,model,brand,price,stock,date_added
CW2288-111,Air Force 1,Nike,363.89,30,2025-04-03
DD1391-100,Dunk Low,Nike,452.64,20,2025-04-26
B75807,Samba OG,Adidas,569.31,6,2025-04-27
BB5476,Gazelle,Adidas,391.01,12,2025-04-16
U9060ECA,9060,New Balance,614.57,29,2025-04-23
BB550WT1,550,New Balance,618.14,29,2025-04-29
554724-077,Air Jordan 1 Mid,Jordan,446.97,26,2025-04-12
DH6927-111,Air Jordan 4,Jordan,562.55,20,2025-04-10
1191A266-020,Gel-Lyte III,ASICS,444.29,29,2025-04-09
1201A789-020,Gel NYC,ASICS,623.93,29,2025-04-22
352634-03,Suede Classic,Puma,544.15,6,2025-04-25
369666-01,RS-X,Puma,538.15,18,2025-04-11
CU4111-100,ZoomX Vaporfly,Nike,395.93,17,2025-04-14
GX5461,Ultraboost 22,Adidas,412.55,8,2025-04-28
MS327LAB,327,New Balance,464.0,25,2025-03-13
M990GL5,990v5,New Balance,526.61,5,2025-03-24
CT8012-005,Air Jordan 11,Jordan,637.51,6,2025-03-24
1011B189-402,Kayano 28,ASICS,449.25,27,2025-03-12
372838-01,Future Rider,Puma,537.67,28,2025-04-02
BD7633,Special,Adidas,542.85,18,2025-04-14
