sku,model,brand,price,stock,date_added
M1906RN,New Balance 9060,New Balance,699.9,5,2024-12-01
IF0642,Adidas Samba OG,Adidas,399.9,2,2024-11-15
DV0834-101,Nike Air Force 1,Nike,449.9,6,2024-12-10
FD9082-100,Nike Zoom Vomero 5,Nike,649.9,16,2024-10-01
FQ2741-100,Nike Air Max 97,Nike,729.9,12,2024-09-01
1203A280-020,ASICS Gel NYC,Asics,629.9,3,2024-11-05
FN0321-002,Nike Dunk Low Retro,Nike,499.9,8,2024-09-20
IE0173,Adidas Spezial,Adidas,439.9,1,2024-10-20
DZ5485-410,Air Jordan 1 Retro High,Jordan,679.9,9,2024-08-10
376682-01,Puma Slipstream,Puma,359.9,7,2024-07-15
M2002RHO,New Balance 2002R,New Balance,649.9,4,2024-11-25
ID7036,Adidas Gazelle,Adidas,419.9,2,2024-09-01
DV9956-100,Nike Air Max Plus,Nike,759.9,6,2024-08-25
1203A223-100,ASICS GT-2160,Asics,579.9,5,2024-10-05
DZ5485-042,Air Jordan 1 Low SE,Jordan,599.9,3,2024-07-01
392325-02,Puma RS-X Efekt,Puma,389.9,4,2024-06-15
BB550HA1,New Balance 550,New Balance,579.9,6,2024-08-20
IF8765,Adidas Campus 00s,Adidas,419.9,5,2024-11-10
FD7039-600,Nike Pegasus 40,Nike,529.9,4,2024-10-15
FD1325-100,Nike Air Max 1,Nike,689.9,7,2024-07-20
CD4373-004,Nike React Vision,Nike,699.9,2024-07-20
