sku,date_sold,quantity
M1906RN,2025-05-07,10
M1906RN,2025-04-19,2
M1906RN,2025-04-24,1
M1906RN,2025-05-08,1
M1906RN,2025-04-22,5
M1906RN,2025-05-08,1
M1906RN,2025-05-12,0
M1906RN,2025-05-02,10
M1906RN,2025-04-19,2
M1906RN,2025-04-19,2
IF0642,2025-05-11,0
IF0642,2025-04-16,10
IF0642,2025-04-14,0
IF0642,2025-05-09,2
IF0642,2025-04-23,2
IF0642,2025-04-30,1
IF0642,2025-05-05,5
IF0642,2025-04-22,1
IF0642,2025-05-02,5
IF0642,2025-04-29,10
IF0642,2025-04-28,10
IF0642,2025-05-09,1
IF0642,2025-04-19,0
IF0642,2025-05-01,0
IF0642,2025-04-19,5
IF0642,2025-04-27,0
IF0642,2025-05-11,1
IF0642,2025-04-25,1
DV0834-101,2025-04-22,1
DV0834-101,2025-05-03,0
DV0834-101,2025-05-03,0
DV0834-101,2025-05-01,1
DV0834-101,2025-04-13,2
DV0834-101,2025-04-27,1
DV0834-101,2025-05-02,10
DV0834-101,2025-04-20,0
DV0834-101,2025-04-15,2
FD9082-100,2025-05-11,2
FD9082-100,2025-04-22,1
FD9082-100,2025-04-24,1
FD9082-100,2025-05-04,0
FD9082-100,2025-05-12,0
FD9082-100,2025-05-07,0
FD9082-100,2025-05-12,0
FD9082-100,2025-04-26,2
FD9082-100,2025-05-01,10
FD9082-100,2025-05-11,0
FD9082-100,2025-05-05,1
FD9082-100,2025-04-26,10
FD9082-100,2025-04-21,0
FD9082-100,2025-04-23,1
FD9082-100,2025-04-26,2
FD9082-100,2025-04-22,0
FD9082-100,2025-05-12,2
FD9082-100,2025-04-27,1
FQ2741-100,2025-05-10,1
FQ2741-100,2025-04-28,2
FQ2741-100,2025-05-02,2
FQ2741-100,2025-04-13,5
FQ2741-100,2025-05-01,1
FQ2741-100,2025-05-02,1
FQ2741-100,2025-04-21,0
FQ2741-100,2025-05-03,2
FQ2741-100,2025-04-27,0
FQ2741-100,2025-05-08,2
FQ2741-100,2025-04-30,5
FQ2741-100,2025-05-02,1
1203A280-020,2025-04-25,1
1203A280-020,2025-05-11,5
1203A280-020,2025-04-26,2
1203A280-020,2025-05-05,5
1203A280-020,2025-04-16,0
1203A280-020,2025-05-09,10
1203A280-020,2025-05-07,0
1203A280-020,2025-04-21,1
1203A280-020,2025-05-07,2
1203A280-020,2025-04-13,1
1203A280-020,2025-04-21,1
1203A280-020,2025-04-16,1
1203A280-020,2025-05-02,1
1203A280-020,2025-05-03,1
1203A280-020,2025-05-01,2
1203A280-020,2025-04-29,0
1203A280-020,2025-04-18,1
1203A280-020,2025-05-10,5
1203A280-020,2025-04-21,0
1203A280-020,2025-04-24,2
FN0321-002,2025-05-05,2
FN0321-002,2025-04-22,0
FN0321-002,2025-04-27,2
FN0321-002,2025-05-12,0
FN0321-002,2025-05-09,1
FN0321-002,2025-04-25,5
FN0321-002,2025-05-05,0
FN0321-002,2025-04-17,0
FN0321-002,2025-04-27,2
FN0321-002,2025-04-20,2
FN0321-002,2025-04-28,2
IE0173,2025-05-12,1
IE0173,2025-04-21,0
IE0173,2025-04-22,1
IE0173,2025-05-08,1
IE0173,2025-04-19,10
IE0173,2025-05-12,2
IE0173,2025-04-14,0
IE0173,2025-04-20,5
IE0173,2025-04-27,2
DZ5485-410,2025-05-11,2
DZ5485-410,2025-04-14,2
DZ5485-410,2025-05-09,5
DZ5485-410,2025-04-17,2
DZ5485-410,2025-05-08,2
DZ5485-410,2025-04-16,2
DZ5485-410,2025-04-18,1
DZ5485-410,2025-04-29,1
DZ5485-410,2025-05-12,1
DZ5485-410,2025-04-16,1
DZ5485-410,2025-05-09,5
DZ5485-410,2025-05-11,0
DZ5485-410,2025-04-26,10
DZ5485-410,2025-05-11,2
DZ5485-410,2025-04-20,5
DZ5485-410,2025-05-07,1
376682-01,2025-04-26,1
376682-01,2025-05-04,1
376682-01,2025-04-16,2
376682-01,2025-05-03,5
376682-01,2025-04-23,2
376682-01,2025-04-22,2
376682-01,2025-05-06,1
376682-01,2025-04-27,1
376682-01,2025-05-10,2
376682-01,2025-05-04,2
376682-01,2025-05-12,1
376682-01,2025-05-08,0
376682-01,2025-04-16,0
376682-01,2025-04-21,2
376682-01,2025-04-19,5
376682-01,2025-04-26,2
376682-01,2025-04-24,10
376682-01,2025-04-19,2
376682-01,2025-04-26,1
M2002RHO,2025-04-17,1
M2002RHO,2025-05-06,10
M2002RHO,2025-05-05,2
M2002RHO,2025-04-24,10
M2002RHO,2025-05-07,0
M2002RHO,2025-04-23,2
M2002RHO,2025-04-26,1
M2002RHO,2025-04-18,0
M2002RHO,2025-04-27,1
M2002RHO,2025-05-07,2
M2002RHO,2025-04-14,1
M2002RHO,2025-05-12,2
M2002RHO,2025-04-16,1
M2002RHO,2025-04-30,2
M2002RHO,2025-04-15,2
ID7036,2025-04-18,5
ID7036,2025-04-15,1
ID7036,2025-04-19,2
ID7036,2025-04-22,0
ID7036,2025-05-06,0
ID7036,2025-04-17,0
ID7036,2025-04-21,10
ID7036,2025-05-06,5
ID7036,2025-05-04,5
ID7036,2025-04-19,2
ID7036,2025-04-21,5
ID7036,2025-05-06,2
ID7036,2025-05-08,5
DV9956-100,2025-04-26,5
DV9956-100,2025-04-19,0
DV9956-100,2025-04-18,5
DV9956-100,2025-04-22,2
DV9956-100,2025-05-12,2
DV9956-100,2025-04-20,0
DV9956-100,2025-05-06,1
DV9956-100,2025-04-24,5
DV9956-100,2025-05-01,2
DV9956-100,2025-04-16,2
DV9956-100,2025-04-25,10
DV9956-100,2025-04-22,0
DV9956-100,2025-04-30,5
DV9956-100,2025-05-05,0
1203A223-100,2025-05-11,2
1203A223-100,2025-04-27,1
1203A223-100,2025-05-03,1
1203A223-100,2025-04-14,5
1203A223-100,2025-04-28,2
1203A223-100,2025-04-14,2
1203A223-100,2025-05-08,5
1203A223-100,2025-04-18,0
1203A223-100,2025-05-08,1
1203A223-100,2025-04-13,10
1203A223-100,2025-04-30,2
1203A223-100,2025-04-28,1
DZ5485-042,2025-04-24,10
DZ5485-042,2025-04-27,10
DZ5485-042,2025-05-11,2
DZ5485-042,2025-04-19,10
DZ5485-042,2025-04-17,10
DZ5485-042,2025-04-29,1
DZ5485-042,2025-04-28,2
DZ5485-042,2025-04-26,0
DZ5485-042,2025-04-26,0
DZ5485-042,2025-05-04,10
DZ5485-042,2025-05-07,2
DZ5485-042,2025-05-12,0
392325-02,2025-05-08,2
392325-02,2025-04-15,10
392325-02,2025-05-03,5
392325-02,2025-04-14,2
392325-02,2025-05-09,1
392325-02,2025-05-05,2
392325-02,2025-05-12,2
392325-02,2025-04-26,2
392325-02,2025-05-01,1
BB550HA1,2025-04-23,1
BB550HA1,2025-05-12,0
BB550HA1,2025-04-22,2
BB550HA1,2025-04-21,2
BB550HA1,2025-04-21,10
BB550HA1,2025-05-11,1
BB550HA1,2025-05-07,2
BB550HA1,2025-05-09,10
BB550HA1,2025-04-29,2
BB550HA1,2025-05-08,2
BB550HA1,2025-04-24,1
BB550HA1,2025-05-02,2
BB550HA1,2025-04-23,1
BB550HA1,2025-04-28,1
IF8765,2025-04-16,2
IF8765,2025-04-16,1
IF8765,2025-05-12,2
IF8765,2025-05-07,0
IF8765,2025-04-22,0
IF8765,2025-04-25,2
IF8765,2025-04-19,2
IF8765,2025-05-03,10
IF8765,2025-05-11,2
IF8765,2025-05-08,2
IF8765,2025-04-28,2
IF8765,2025-04-30,2
IF8765,2025-04-13,2
IF8765,2025-05-10,0
IF8765,2025-05-12,2
IF8765,2025-05-07,2
IF8765,2025-05-05,2
IF8765,2025-04-13,1
FD7039-600,2025-04-27,1
FD7039-600,2025-04-23,2
FD7039-600,2025-04-26,0
FD7039-600,2025-04-20,0
FD7039-600,2025-04-23,0
FD7039-600,2025-04-17,2
FD7039-600,2025-04-21,1
FD7039-600,2025-05-02,2
FD7039-600,2025-04-19,5
FD7039-600,2025-04-18,0
FD7039-600,2025-04-25,0
FD7039-600,2025-05-07,1
FD7039-600,2025-05-12,1
FD7039-600,2025-04-17,2
FD1325-100,2025-04-24,1
FD1325-100,2025-05-12,1
FD1325-100,2025-04-29,2
FD1325-100,2025-04-15,1
FD1325-100,2025-04-18,5
FD1325-100,2025-05-10,0
FD1325-100,2025-04-28,2
FD1325-100,2025-04-15,1
FD1325-100,2025-05-07,5
FD1325-100,2025-04-27,2
